baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC107984399	0.0344858513695341	-1.28126165693672	6.12047839865827	-0.209340115834344	0.834182737556188	NA
LOC105369535	0	NA	NA	NA	NA	NA
OR8G2	0	NA	NA	NA	NA	NA
LOC403312	0.878407943840088	-0.696959831194317	2.86631583464972	-0.243155280645997	0.807885108187254	NA
LOC338667	0	NA	NA	NA	NA	NA
LOC105369591	0.236777210608155	0.575304907628361	6.09833058771858	0.0943380978372945	0.924840587150133	NA
C11orf44	0.0736951250808494	-1.69814319753138	6.1134177741902	-0.27777313120995	0.781186517984809	NA
LOC107984507	0.463096950485624	-1.19658902653181	3.53856933633733	-0.338156162221868	0.735245509362861	NA
LOC728715	0.0387699338288991	-1.28126841232329	6.12047839865827	-0.209341219569399	0.83418187598981	NA
LOC105376678	0.234028058713609	0.553750749584777	5.00504864480467	0.110638435084858	0.91190306778214	NA
LOC105369728	0	NA	NA	NA	NA	NA
PRH1-TAS2R14	32.1881377229081	0.125092117651614	0.647840779057917	0.193090836043883	0.84688782938517	NA
LOC100506248	3.39176111493834	1.92373336618425	1.81094092331041	1.06228388868018	0.288106826283906	NA
LOC105369669	4.61965780732013	-0.967192484045615	1.69287630201033	-0.57133086622871	0.567775382456279	NA
C12orf77	0	NA	NA	NA	NA	NA
LOC645177	0.467782175204325	0.142795848049413	5.58786757702076	0.0255546227753569	0.979612580017076	NA
MUC19	3.72264521479723	-1.34417063981046	1.71066292164101	-0.785760083302101	0.432008055888593	NA
C12orf80	0	NA	NA	NA	NA	NA
LOC107984512	0.0340977202349398	0.161325291344976	6.12047839865827	0.0263582813036872	0.978971569275239	NA
LOC107987175	1.50825484920839	-2.76647761685256	1.83750847304142	-1.50555910758524	0.132180392613015	NA
LOC105369972	0.225049132526517	-2.16061428772921	6.10359475515803	-0.353990455526773	0.723346036112438	NA
LOC107984534	2.52319745118233	-0.234546158734671	1.80561252059844	-0.129898389637293	0.896646818377885	NA
LOC105369869	0	NA	NA	NA	NA	NA
LOC105369914	0	NA	NA	NA	NA	NA
LOC105370045	6.42651804804015	-0.614462970743045	1.02045921187323	-0.60214358750811	0.54707856270082	NA
LOC105370059	0.16635467955433	-0.562623908849161	6.08728240096116	-0.0924261224943868	0.926359485505212	NA
LOC107984465	0	NA	NA	NA	NA	NA
LOC107984449	0.108180976450384	-2.22737955622815	6.10386495038284	-0.36491298125599	0.715176363899424	NA
LOC101929984	0.264187495209993	-1.28126165693673	6.12047839865827	-0.209340115834344	0.834182737556187	NA
LOC100996701	0	NA	NA	NA	NA	NA
LOC105370092	0.0317644141133708	0.16133204673154	6.12047839865827	0.0263593850387427	0.97897068892796	NA
MUC8	0	NA	NA	NA	NA	NA
LOC100996573	1.43393707010066	0.607639653363657	2.06187631799429	0.29470228066577	0.768221320796606	NA
LOC101928764	3.2479637231428	1.78660517594853	1.39308823722979	1.28247811459615	0.199674977427921	NA
LOC105370295	0	NA	NA	NA	NA	NA
LOC101927375	0	NA	NA	NA	NA	NA
SETDB2-PHF11	520.790773219691	0.0696671629999274	0.135758408141102	0.513170152433712	0.607832302637709	0.77897803802351
LOC107984562	13.9202817261599	-0.160234858115347	0.736278174557035	-0.217628151495525	0.827718848444968	NA
LOC101927016	0	NA	NA	NA	NA	NA
LOC100129307	0	NA	NA	NA	NA	NA
LOC107987188	0	NA	NA	NA	NA	NA
COL4A2-AS2	0	NA	NA	NA	NA	NA
LOC105376684	1.78824950176783	0.25705632848829	1.67724821216081	0.153260755697645	0.87819264740929	NA
LOC105370362	0.0368475625404247	-1.28126165693672	6.12047839865827	-0.209340115834344	0.834182737556187	NA
LOC107983958	0	NA	NA	NA	NA	NA
LOC105378193	0	NA	NA	NA	NA	NA
ATP11AUN	0	NA	NA	NA	NA	NA
LOC107984590	0	NA	NA	NA	NA	NA
LOC102724474	3.12031896727177	-0.416092936843085	1.20418783130839	-0.345538234173142	0.729689771515755	NA
LOC105370378	0	NA	NA	NA	NA	NA
LOC101928841	3.97078680957436	-0.387401540448537	1.65183349804516	-0.234528202089982	0.814574941515969	NA
LOC105377805	0.0685835716044739	-0.559980005244362	6.12047839865827	-0.0914928488869629	0.927100988166972	NA
LINC00452	3.71257454864535	-1.20013346256031	1.40025422821708	-0.857082548565786	0.391399265107889	NA
LOC101929355	0	NA	NA	NA	NA	NA
LOC107987205	0	NA	NA	NA	NA	NA
LOC105370399	0	NA	NA	NA	NA	NA
LOC105370705	0.104157251810605	0.152329843736647	6.11504902363151	0.0249106496363268	0.980126232689662	NA
DHRS4L1	0.608621255817636	-0.851547350722224	3.22229341986932	-0.264267476534386	0.791573819641235	NA
LOC105378189	0	NA	NA	NA	NA	NA
LOC105370706	0.236604936481598	0.50883621216275	4.97221543533551	0.102335914197655	0.918490049529359	NA
LOC107984638	9.00593296054042	1.1918473684072	1.34541969495931	0.885855449323743	0.375695425559248	NA
LOC105370579	0.712799413379173	0.587900701438717	2.67628588445552	0.219670366627638	0.826127884956233	NA
LOC105370641	0	NA	NA	NA	NA	NA
LOC102724682	0	NA	NA	NA	NA	NA
LOC105370687	3.09007045613462	2.73362035118708	1.55152787883936	1.76188928891952	0.0780880046743273	NA
LOC107984648	16.4092141730386	-0.652462051531339	1.50183742811252	-0.434442529742611	0.663967119525357	NA
LOC105370691	0.272086195444291	-0.953822261746239	6.07617973207947	-0.156977295571178	0.875262741752302	NA
LOC105370708	0	NA	NA	NA	NA	NA
LOC107987211	0	NA	NA	NA	NA	NA
LOC105379272	0	NA	NA	NA	NA	NA
LOC105379528	0	NA	NA	NA	NA	NA
IGHV3-9	0	NA	NA	NA	NA	NA
LOC102723407	0	NA	NA	NA	NA	NA
LOC100996379	0	NA	NA	NA	NA	NA
LOC105369274	0	NA	NA	NA	NA	NA
LOC102724971	0	NA	NA	NA	NA	NA
LOC107983983	0	NA	NA	NA	NA	NA
LOC102723534	0	NA	NA	NA	NA	NA
LOC102723623	0	NA	NA	NA	NA	NA
LOC105370733	0	NA	NA	NA	NA	NA
LOC645202	0	NA	NA	NA	NA	NA
LOC100132202	0	NA	NA	NA	NA	NA
HERC2P11	0.0336229038683352	0.161332046731543	6.12047839865827	0.0263593850387431	0.978970688927959	NA
LOC107984752	0.351296201500939	-1.95194370363255	6.11016600749792	-0.319458374983147	0.749378950946852	NA
LOC101060569	0.102159230528813	0.0219436146750592	6.10911478052783	0.00359194669987249	0.997134047347738	NA
LOC100996413	0	NA	NA	NA	NA	NA
LOC101927579	1.10145181253988	-1.58081989894698	2.41020249983293	-0.655886756011813	0.511896990243708	NA
LOC107984025	0.0610559905783452	0.754499886253646	6.11099860425775	0.123465890783866	0.901738182808086	NA
LOC101930434	0.0705343479422699	-0.559980005244362	6.12047839865827	-0.0914928488869629	0.927100988166972	NA
LOC283710	0	NA	NA	NA	NA	NA
LOC105370940	0	NA	NA	NA	NA	NA
LOC101060588	0	NA	NA	NA	NA	NA
LOC100653133	0.108180976450384	-2.22737955622815	6.10386495038284	-0.36491298125599	0.715176363899424	NA
C15orf56	0.298673346579527	-1.8710158496088	6.11147082828941	-0.306148209191812	0.759491803315725	NA
LOC105376714	0.121497633263258	1.32478839063547	6.10084085074533	0.21714849199412	0.828092624291574	NA
LOC107983981	0	NA	NA	NA	NA	NA
LOC107984745	1.68126759170913	-0.305876480349654	1.86650580590541	-0.163876522313456	0.869828349693961	NA
LOC101928635	0.187818493795489	0.806484368006854	6.0900520158134	0.132426515555654	0.894646942983794	NA
LOC105370849	0	NA	NA	NA	NA	NA
LOC107984728	0	NA	NA	NA	NA	NA
LOC732265	0	NA	NA	NA	NA	NA
LOC102723750	0.822123911437048	-0.603927990797145	2.41054000925374	-0.250536389555347	0.802172566986755	NA
LOC105376731	0	NA	NA	NA	NA	NA
LOC107984799	4.27722225641977	-2.11604278593118	1.2474558496779	-1.69628671545975	0.0898315950704072	NA
LOC440292	3.40879390465586	-0.346367298756156	1.9819892079626	-0.174757409053809	0.861270255895501	NA
LOC105376722	0.0937646472729515	-1.03606469877855	6.11448446849324	-0.169444325865441	0.865447160540046	NA
LOC102724135	0	NA	NA	NA	NA	NA
GOLGA6L3	0	NA	NA	NA	NA	NA
LOC105371031	0	NA	NA	NA	NA	NA
C15orf32	0	NA	NA	NA	NA	NA
LOC105370980	0	NA	NA	NA	NA	NA
LOC105369201	0.684124339090183	1.71681841083361	3.55772979539356	0.482560090161005	0.629408122392215	NA
LOC107984751	4.54340640741817	0.153339101246276	1.59785735859432	0.0959654504962646	0.923548012390514	NA
